,ruleid,rule,upi,fresp,code,function
76,2,all are the same size,alyxzksgke,three blocks of the same size,o,"forall(function(x1){forall(function(x2){ exactly(function(x3) {equal(x1,x2,'size')},  3, X)},  X)},  X)"
77,2,all are the same size,guldlbnobg,how many are completely standing up,v,
78,2,all are the same size,kgelyqjiet,they have to be the same size,c,"forall(function(x1) {forall(function(x2) {equal(x1,x2,'size')}, X)}, X)"
79,2,all are the same size,hxdomhiend,not that much use,n,
80,2,all are the same size,tdozurlsah,none of them should be facing out,d,"forall(function(x1) {and(not(equal(x1,'rhs','orientation')), not(equal(x1,'lhs','orientation')))},  X)"
81,2,all are the same size,ciwzlkkruo,all vertical when they are together they have to be the same size,o,"forall(function(x1) {forall(function(x2) {and(equal(x1,x2,'size'), equal(x1,'orientation','upright'))}, X)}, X)"
82,2,all are the same size,yxvfdkoyfy,you can do it however you can and you can still make it into a pattern,v,"forall(function(x1) {T}, X)"
83,2,all are the same size,xbrfrfvylp,they all have to be in the same side or same shape,d,"forall(function(x1) {forall(function(x2) {or(and(equal(x1,x2,'size'),equal(x1,x2,'colour')), equal(x1,x2,'orientation'))}, X)}, X)"
84,2,all are the same size,azojgnqhin,they must form a pattern and they all must be of the same size,o,"forall(function(x1) {forall(function(x2) {equal(x1,x2,'size')}, X)}, X)"
85,2,all are the same size,ncfdqtjgzx,at least bigs,v,"exists(function(x1) {grequal(x1,3,'size')}, X)"
86,2,all are the same size,zlosupqcpk,they all have to be the same size and two of the tigs have to be the same color,o,"forall(function(x1) {forall(function(x2) {exactly(function(x3) {exists(function(x4) {and(and(equal(x1,x2,'size'), equal(x3,x4,'colour')), not(equal(x3,x4,'object')))}, X)}, 2, X)}, X)}, X)"
87,2,all are the same size,idctlavwmn,all the bemmies have to be the same size,c,"forall(function(x1) {forall(function(x2) {equal(x1,x2,'size')}, X)}, X)"
88,2,all are the same size,wswqcsomwl,they have to be the same size,c,"forall(function(x1) {forall(function(x2) {equal(x1,x2,'size')}, X)}, X)"
